                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.85016,                0.77183,                 1.0507,                 0.0003,                0.09091,                0.00037,                0.00015,                 2.9357,                    inf,                 363.13,             0.00037482,             0.00037482,             0.00037482
                     36,                0.70819,                0.68713,                0.98046,                 0.0003,                0.09091,                0.00037,                0.00015,                 2.9357,                    inf,                 363.13,              0.0003766,              0.0003766,              0.0003766
                     37,                0.62343,                0.59048,                 1.0029,                0.00152,                0.45455,                0.00188,                0.00028,                    nan,                    nan,                    nan,             0.00037786,             0.00037786,             0.00037786
                     38,                0.77351,                0.98818,                 1.1262,                0.00152,                0.45455,                0.00188,                0.00028,                    nan,                    nan,                    nan,             0.00037858,             0.00037858,             0.00037858
                     39,                0.80584,                0.75572,                 1.0464,                0.00152,                0.45455,                0.00188,                0.00028,                    nan,                    nan,                    nan,             0.00037878,             0.00037878,             0.00037878
                     40,                0.77305,                0.87497,                 1.0368,                0.00152,                0.45455,                0.00188,                0.00028,                    nan,                    nan,                    nan,             0.00037846,             0.00037846,             0.00037846
                     41,                0.71291,                0.64252,                  1.022,                0.00152,                0.45455,                0.00188,                0.00028,                    nan,                    nan,                    nan,              0.0003776,              0.0003776,              0.0003776
                     42,                0.81637,                 1.0881,                 1.1498,                0.00152,                0.45455,                0.00188,                0.00028,                    nan,                    nan,                    nan,             0.00037622,             0.00037622,             0.00037622
                     43,                0.63166,                0.98316,                0.92158,                0.00152,                0.45455,                0.00188,                0.00028,                    nan,                    nan,                    nan,              0.0003743,              0.0003743,              0.0003743
                     44,                0.73388,                0.71898,                 1.0355,                0.00152,                0.45455,                0.00188,                0.00028,                    nan,                    nan,                    nan,             0.00037186,             0.00037186,             0.00037186
