                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.75912,                0.48938,                0.98447,                0.00063,                0.09091,                0.00037,                  4e-05,                 3.8729,                 7.7363,                 3.1338,               0.001076,               0.001076,               0.001076
                     38,                0.67631,                0.53515,                0.97289,                0.01569,                0.09091,                0.00459,                0.00112,                 2.7825,                 4.8052,                 2.4196,              0.0010496,              0.0010496,              0.0010496
                     39,                0.73545,                0.49399,                0.98869,                0.24338,                0.55596,                0.27194,                0.08743,                 2.0585,                  2.993,                 1.8323,              0.0010232,              0.0010232,              0.0010232
                     40,                0.68927,                0.46629,                0.91755,                0.56065,                0.81818,                0.63447,                 0.2689,                 1.5758,                 2.5647,                 1.7614,              0.0009968,              0.0009968,              0.0009968
                     41,                0.66372,                0.48298,                0.96101,                0.82838,                0.44104,                0.58658,                0.28176,                 2.2089,                  2.791,                 1.9954,              0.0009704,              0.0009704,              0.0009704
                     42,                0.69985,                0.45621,                0.96763,                0.52075,                0.54545,                0.58753,                0.31423,                 1.8138,                 2.4081,                 2.0386,               0.000944,               0.000944,               0.000944
                     43,                0.69205,                0.45751,                 0.9297,                0.65908,                0.18182,                0.36708,                0.18275,                 2.4227,                 3.6881,                 2.3584,              0.0009176,              0.0009176,              0.0009176
                     44,                0.57275,                0.43475,                0.91954,                0.02532,                0.18182,                0.02878,                0.00288,                 2.7423,                 4.6596,                 2.6928,              0.0008912,              0.0008912,              0.0008912
                     45,                0.63437,                0.42306,                0.96661,                0.02532,                0.18182,                0.02878,                0.00288,                 2.8532,                 4.9283,                 2.9024,              0.0008648,              0.0008648,              0.0008648
                     46,                0.61274,                0.43519,                0.93721,                0.04545,                0.18182,                0.04945,                0.00989,                 2.2616,                 4.4788,                 2.5042,              0.0008384,              0.0008384,              0.0008384
                     47,                0.65357,                0.44583,                0.94498,                0.04545,                0.18182,                0.04945,                0.00989,                 2.9843,                 5.0285,                  2.992,               0.000812,               0.000812,               0.000812
                     48,                0.64646,                0.42994,                0.95205,                 0.9282,                0.27273,                 0.3638,                0.20561,                 2.1821,                 3.4819,                 2.2629,              0.0007856,              0.0007856,              0.0007856
                     49,                0.75532,                0.47127,                0.96519,                0.99353,                      1,                  0.995,                0.90191,                0.46029,                0.34943,                0.83163,              0.0007592,              0.0007592,              0.0007592
                     50,                0.56588,                0.40411,                0.93424,                0.99531,                      1,                  0.995,                0.90295,                0.48757,                0.35079,                0.83116,              0.0007328,              0.0007328,              0.0007328
                     51,                0.59025,                0.40168,                0.88818,                 0.9955,                      1,                  0.995,                0.89004,                 0.4734,                0.36809,                0.82198,              0.0007064,              0.0007064,              0.0007064
                     52,                0.62158,                0.43281,                0.94616,                0.99555,                      1,                  0.995,                0.93458,                0.42677,                0.31429,                0.80033,                0.00068,                0.00068,                0.00068
                     53,                0.55293,                0.38286,                0.89575,                0.99554,                      1,                  0.995,                0.94083,                0.41038,                0.31427,                0.79308,              0.0006536,              0.0006536,              0.0006536
                     54,                0.62752,                0.41352,                0.92367,                      1,                      1,                  0.995,                0.95187,                0.41022,                0.29434,                0.80345,              0.0006272,              0.0006272,              0.0006272
