                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.91031,                0.74599,                 1.0839,                0.00134,                 0.0625,                 0.0007,                  7e-05,                 5.4319,                    inf,                 87.093,              0.0011024,              0.0011024,              0.0011024
                     37,                 1.0016,                0.76452,                 1.1894,                0.00134,                 0.0625,                 0.0007,                  7e-05,                 5.4319,                    inf,                 87.093,               0.001076,               0.001076,               0.001076
                     38,                0.95114,                0.71247,                 1.1566,                0.00042,                  0.125,                0.00025,                  2e-05,                 5.1316,                    581,                 30.637,              0.0010496,              0.0010496,              0.0010496
                     39,                 1.1048,                0.72256,                 1.2113,                0.00021,                 0.0625,                0.00011,                  3e-05,                 4.6228,                 397.52,                 10.533,              0.0010232,              0.0010232,              0.0010232
                     40,                0.91552,                0.81993,                 1.1701,                0.00028,                 0.0625,                0.00012,                  5e-05,                  4.268,                 324.58,                 12.063,              0.0009968,              0.0009968,              0.0009968
                     41,                 1.1643,                0.97929,                 1.3876,                0.00028,                 0.0625,                0.00012,                  5e-05,                  4.268,                 324.58,                 12.063,              0.0009704,              0.0009704,              0.0009704
                     42,                0.95606,                0.69023,                 1.1469,                0.00028,                 0.0625,                0.00012,                  5e-05,                 5.0055,                  328.8,                 21.483,               0.000944,               0.000944,               0.000944
                     43,                0.93948,                  0.679,                 1.0915,                0.00028,                 0.0625,                0.00012,                  5e-05,                 4.7754,                 20.208,                 16.112,              0.0009176,              0.0009176,              0.0009176
                     44,                 1.1023,                 1.0269,                 1.3802,                0.00028,                 0.0625,                0.00012,                  5e-05,                  4.773,                    6.5,                 11.212,              0.0008912,              0.0008912,              0.0008912
                     45,                  1.117,                0.71915,                 1.1852,                0.00028,                 0.0625,                0.00012,                  5e-05,                  4.773,                    6.5,                 11.212,              0.0008648,              0.0008648,              0.0008648
                     46,                 1.0031,                0.71975,                 1.1271,                0.01764,                 0.0625,                0.00155,                0.00046,                 4.5143,                 7.2156,                 9.5544,              0.0008384,              0.0008384,              0.0008384
                     47,                 1.0816,                0.83103,                 1.2898,                0.02112,                 0.0625,                0.00243,                 0.0007,                  4.471,                 11.202,                 7.1057,               0.000812,               0.000812,               0.000812
                     48,                0.96145,                0.84744,                  1.179,                0.02112,                 0.0625,                0.00243,                 0.0007,                 4.2158,                  15.07,                 5.6474,              0.0007856,              0.0007856,              0.0007856
                     49,                 1.0931,                0.80472,                 1.2313,                0.02112,                 0.0625,                0.00243,                 0.0007,                 4.2158,                  15.07,                 5.6474,              0.0007592,              0.0007592,              0.0007592
                     50,                0.90932,                0.68998,                 1.1672,                0.02112,                 0.0625,                0.00243,                 0.0007,                 3.3468,                  13.71,                 3.9575,              0.0007328,              0.0007328,              0.0007328
                     51,                  1.042,                0.71335,                 1.1252,                0.01492,                 0.0625,                0.00223,                0.00038,                 3.7239,                 9.7265,                 4.0528,              0.0007064,              0.0007064,              0.0007064
                     52,                 1.1139,                0.70417,                 1.1872,                0.88169,                 0.4375,                0.56107,                0.32735,                 1.0946,                 5.8533,                 1.3693,                0.00068,                0.00068,                0.00068
